ID,target
test_id_0,19.1
test_id_1,17.6
test_id_2,13.3
test_id_3,30.3
test_id_4,47.8
test_id_5,1.5
test_id_6,8.3
test_id_7,26.9
test_id_8,15.9
test_id_9,12.2
test_id_10,26.0
test_id_11,18.7
test_id_12,10.3
test_id_13,57.4
test_id_14,4.7
test_id_15,9.8
test_id_16,67.3
test_id_17,93.8
test_id_18,30.3
test_id_19,23.9
test_id_20,38.0
test_id_21,21.7
test_id_22,42.1
test_id_23,5.1
test_id_24,24.4
test_id_25,38.6
test_id_26,13.3
test_id_27,30.2
test_id_28,11.8
test_id_29,55.3
test_id_30,28.5
test_id_31,1.5
test_id_32,4.2
test_id_33,13.7
test_id_34,7.4
test_id_35,7.6
test_id_36,38.6
test_id_37,14.1
test_id_38,11.1
test_id_39,76.0
test_id_40,48.8
test_id_41,7.0
test_id_42,6.0
test_id_43,52.6
test_id_44,159.6
test_id_45,5.5
test_id_46,9.3
test_id_47,15.5
test_id_48,8.0
test_id_49,151.9
test_id_50,1.4
test_id_51,30.5
test_id_52,1.6
test_id_53,11.5
test_id_54,14.6
test_id_55,12.4
test_id_56,16.7
test_id_57,39.5
test_id_58,9.9
test_id_59,14.2
test_id_60,10.2
test_id_61,16.6
test_id_62,10.0
test_id_63,13.5
test_id_64,9.1
test_id_65,5.4
test_id_66,1.0
test_id_67,3.4
test_id_68,6.3
test_id_69,6.2
test_id_70,16.7
test_id_71,12.0
test_id_72,7.6
test_id_73,4.5
test_id_74,33.3
test_id_75,6.3
test_id_76,146.0
test_id_77,19.4
test_id_78,12.2
test_id_79,5.3
test_id_80,2.1
test_id_81,17.4
test_id_82,2.5
test_id_83,12.7
test_id_84,16.9
test_id_85,32.1
test_id_86,56.3
test_id_87,90.1
test_id_88,2.2
test_id_89,19.6
test_id_90,23.1
test_id_91,17.1
test_id_92,50.0
test_id_93,15.0
test_id_94,4.9
test_id_95,11.4
test_id_96,8.7
test_id_97,4.3
test_id_98,2.9
test_id_99,3.5
test_id_100,4.9
test_id_101,8.1
test_id_102,10.0
test_id_103,23.0
test_id_104,4.8
test_id_105,8.9
test_id_106,9.9
test_id_107,60.4
test_id_108,17.3
test_id_109,14.9
test_id_110,4.5
test_id_111,29.4
test_id_112,13.6
test_id_113,18.5
test_id_114,15.2
test_id_115,12.9
test_id_116,15.5
test_id_117,10.4
test_id_118,13.2
test_id_119,50.0
test_id_120,1.1
test_id_121,6.3
test_id_122,10.0
test_id_123,5.0
